ID	m/z	Ion mode	Retention time (min)	SnF2-1	SnF2-2	SnF2-3	NaF-1	NaF-2	NaF-3	control-1	control-2	control-3	Compound ID	Adducts	Formula	Score	Fragmentation Score	¦¤ppm	Metabolites
3.25_407.2403m/z	407.2402948	pos	3.24835	0	26.65179497	37.32798767	52.66377486	61.41190722	58.69758489	28.74097303	12.08675326	35.92384003	HMDB0000201	2M+H	C9H17NO4	37	0	3.698111941	Sinapyl alcohol
1.47_117.0191m/z	117.0190507	neg	1.4651	608.4499887	594.5326995	583.1401127	676.1500381	515.74011	509.7688324	671.3840057	641.1443222	653.4110755	HMDB0000202	M-H	C4H6O4	47.7	43.1	-2.385647823	"4E,6E,10Z-Hexadecatrien-1-ol"
1.45_187.1089m/z	187.1089489	neg	1.454266667	321.59982	355.3144623	368.5668992	431.0669267	377.5184597	324.7874053	386.46278	335.2473874	385.7707008	HMDB0000206	M-H	C8H16N2O3	47.2	42.6	0.706484394	5-Tetradecenoic acid
10.31_282.2562n	281.2489465	neg	10.30715	6836.355733	7910.642344	7815.346011	7986.108522	10185.66058	9881.413536	7639.821735	9014.242605	9028.76549	HMDB0000207	"M-H, 2M-H"	C18H34O2	39.4	0	1.213939229	Cavipetin C
4.00_200.0929m/z	200.0928661	neg	3.995633333	91.78887526	63.14441177	75.8544191	88.96059603	79.2041177	89.86677592	68.76248052	100.8933205	88.22908421	HMDB0000210	M-H2O-H	C9H17NO5	37.8	0	0.157616037	PG(16:0/18:0)
1.95_202.0723m/z	202.0722755	neg	1.946233333	5.687026255	4.94826146	8.081660522	6.057495299	9.537453099	8.805697108	4.424008886	4.804259722	6.620297295	HMDB0000212	M-H2O-H	C8H15NO6	37.8	0	0.81168298	11-Hydroxyprogesterone 11-glucuronide
1.17_131.0824m/z	131.0824325	neg	1.172766667	130.4608424	139.233217	136.1634993	143.3110837	137.3355318	127.6842882	152.8015788	152.7310023	155.5768072	HMDB0000214	M-H	C5H12N2O2	38.6	0	-1.277292958	Trypanothione
2.20_383.1460m/z	383.1460007	neg	2.201216667	192.2460511	251.2376103	209.3073793	251.1810957	236.9960338	259.2046693	114.582358	175.7777246	214.88933	HMDB0000216	2M+FA-H	C8H11NO3	39.4	0	0.033732841	3-(Acetyloxy)-2-hydroxypropyl icosanoate
2.05_356.1820m/z	356.1819635	pos	2.05135	55.98419284	29.78375049	40.33358765	31.05383878	41.00690196	38.73571328	37.41191412	57.99940473	45.6294135	HMDB0000216	2M+NH4	C8H11NO3	37.9	0	1.039695789	"10-alpha-methoxy-9,10-dihydrolysergol"
4.96_349.0095m/z	349.0095075	neg	4.96275	60.87769238	50.27762824	47.27684488	45.69745215	33.00591874	57.42916078	78.78794527	52.26000261	50.6807684	HMDB0000218	M-H2O-H	C10H13N2O11P	36.4	0	4.490976527	Glycylserylprolylmethionylphenylalanylvalinamide
4.77_274.2739m/z	274.273916	pos	4.76645	526.959413	364.6412171	321.1005746	369.623296	402.1081565	313.6365075	585.8401096	387.2853328	306.0080211	HMDB0000220	M+NH4	C16H32O2	40.6	8.56	-0.545535917	Phenylalanyl-Valine
10.11_256.2405n	255.2332492	neg	10.11166667	7469.514328	6427.187411	6688.087603	5967.448702	6577.188957	5997.685777	10432.58819	8731.73572	7361.029474	HMDB0000220	"M-H, 2M-H"	C16H32O2	40.3	4.49	1.15259275	8Z-Heptadecene
8.00_398.3275m/z	398.3275342	neg	8.0016	718.7677257	603.738174	680.4730836	442.8047401	353.6056448	517.2021443	922.1794272	618.0539499	472.8663797	HMDB0000222	M-H	C23H45NO4	39.3	0	-0.12088178	PS(17:0/0:0)
1.49_365.0724m/z	365.0723791	neg	1.488916667	10.49479912	10.31541127	12.12197876	4.684449181	0	3.789761735	16.39824508	5.462723901	6.29332649	HMDB0000225	2M+FA-H	C6H8O5	38.4	0	-0.532647153	17Z-octadecenoic acid
2.89_129.0557m/z	129.0556809	neg	2.887016667	92.34802971	107.4895587	99.68938206	117.2861938	134.1214454	126.9810915	58.93605359	97.33880192	103.1535573	HMDB0000227	M-H2O-H	C6H12O4	38.5	0	-0.248618896	Pheniramine
8.64_691.1055m/z	691.1054636	pos	8.640983333	144.3541376	202.5859694	352.4296576	377.6284686	421.9797173	448.0386744	500.3468466	468.1311631	436.361866	HMDB0000229	2M+Na	C11H15N2O8P	36.2	0	4.548234948	Glutathionate(1-)
1.42_290.0891m/z	290.0890981	neg	1.418433333	79.44326236	86.47131256	77.37806854	72.92161327	87.73302888	83.03458982	82.37760888	73.97826476	89.40965688	HMDB0000230	M-H2O-H	C11H19NO9	38.3	0	3.099380931	(R)-Hispaglabridin B
2.51_563.2661m/z	563.2661049	pos	2.511183333	2396.948754	2853.83175	2621.672356	2643.140417	2643.636536	2751.487407	2336.38691	2593.409628	2565.197097	HMDB0000241	M+H	C34H34N4O4	38.3	0	1.463518789	Miglustat
2.38_543.2414m/z	543.241398	neg	2.384716667	2620.641433	2611.357261	2655.167673	2681.600185	2796.157736	2844.569713	2508.223998	2653.138042	2726.141269	HMDB0000241	M-H2O-H	C34H34N4O4	36.1	15.1	2.193967415	Type IV cyanolipid eicosanoyl ester
